SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""202"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," target=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1""",,
main," ""203"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""204"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," vertical=true""",,
main," ""205"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," border=java.awt.Point (id=170)""",,
main," ""206"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," gap=2""",,
main," ""207"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""208"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""209"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1"," fGap=2""",,
main," ""210"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""211"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1"," fBorder=java.awt.Point (id=170)""",,
main," ""212"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""213"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1"," fVerticalLayout=true""",,
main," ""214"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""215"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," value=<void>""",,
main," ""216"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""217"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""218"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," value=<void>""",,
main," ""219"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""220"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""221"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""222"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," result=java.awt.Panel (id=166)""",,
main," ""223"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," value=java.awt.Panel (id=166)""",,
main," ""224"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""225"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""226"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#open:1"," tools=java.awt.Panel (id=166)""",,
main," ""227"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
